Fecha;AAA USD GOV 1-3;AAA USD GOV 3-5;AAA USD GOV 5-7;AAA USD GOV 7-10;AAA USD GOV +10;BBB USD CORP 1-3;BBB USD CORP 3-5;BBB USD CORP 5-7;BBB USD CORP 7-10;BBB USD CORP +10
12/31/1996;5.846;6.156;6.267;6.417;6.881;6.557;6.895;7.066;7.243;7.66
1/31/1997;5.876;6.201;6.332;6.496;6.997;6.569;6.927;7.105;7.298;7.773
2/28/1997;6.032;6.344;6.449;6.598;7.054;6.687;7.016;7.186;7.353;7.793
3/31/1997;6.377;6.715;6.821;6.951;7.347;6.966;7.363;7.532;7.716;8.099
4/30/1997;6.214;6.519;6.607;6.747;7.17;6.777;7.156;7.394;7.526;7.947
5/31/1997;6.138;6.456;6.553;6.681;7.122;6.7;7.067;7.318;7.468;7.908
6/30/1997;6.04;6.34;6.431;6.565;6.998;6.63;6.951;7.167;7.287;7.742
7/31/1997;5.697;5.856;5.93;6.065;6.517;6.297;6.474;6.686;6.805;7.182
8/31/1997;5.948;6.193;6.301;6.417;6.838;6.559;6.772;7.02;7.134;7.545
9/30/1997;5.791;5.981;6.073;6.196;6.626;6.378;6.595;6.813;6.928;7.328
10/31/1997;5.642;5.755;5.814;5.932;6.374;6.27;6.45;6.631;6.778;7.176
11/30/1997;5.785;5.858;5.881;5.955;6.296;6.454;6.601;6.809;6.883;7.15
12/31/1997;5.664;5.736;5.747;5.845;6.191;6.426;6.55;6.667;6.774;7.047
1/31/1998;5.361;5.411;5.466;5.608;6.055;6.079;6.255;6.474;6.635;7.046
2/28/1998;5.562;5.611;5.649;5.758;6.159;6.285;6.455;6.664;6.745;7.107
3/31/1998;5.601;5.666;5.7;5.799;6.186;6.287;6.486;6.716;6.772;7.12
4/30/1998;5.596;5.669;5.712;5.814;6.206;6.282;6.489;6.724;6.777;7.125
5/31/1998;5.562;5.611;5.673;5.692;6.078;6.24;6.431;6.641;6.672;6.968
6/30/1998;5.52;5.539;5.577;5.578;5.917;6.237;6.402;6.603;6.67;6.885
7/31/1998;5.517;5.564;5.619;5.613;5.999;6.296;6.444;6.712;6.814;7.041
8/31/1998;5.019;5.024;5.117;5.152;5.631;6.212;6.367;6.689;7.033;7.328
9/30/1998;4.453;4.357;4.496;4.513;5.342;5.771;5.9;6.117;6.469;7.045
10/31/1998;4.362;4.381;4.576;4.674;5.524;5.955;6.178;6.438;6.816;7.378
11/30/1998;4.634;4.658;4.795;4.898;5.477;6.096;6.275;6.474;6.726;7.087
12/31/1998;4.651;4.691;4.802;4.866;5.537;6.192;6.334;6.508;6.671;7.061
1/31/1999;4.647;4.632;4.769;4.854;5.501;6.129;6.19;6.384;6.587;6.925
2/28/1999;5.172;5.302;5.463;5.505;6.01;6.491;6.773;6.967;7.137;7.394
3/31/1999;5.013;5.189;5.399;5.477;6.06;6.231;6.61;6.838;7.049;7.362
4/30/1999;5.076;5.238;5.413;5.503;6.078;6.22;6.609;6.809;7.06;7.489
5/31/1999;5.401;5.66;5.832;5.896;6.274;6.565;7.069;7.283;7.481;7.609
6/30/1999;5.492;5.701;5.932;6.045;6.422;6.721;7.172;7.423;7.672;7.822
7/31/1999;5.588;5.852;6.068;6.175;6.529;6.993;7.455;7.681;7.85;7.947
8/31/1999;5.729;5.942;6.184;6.255;6.613;7.274;7.571;7.86;7.949;8.102
9/30/1999;5.624;5.825;6.073;6.178;6.592;7.178;7.453;7.782;7.869;8.06
10/31/1999;5.782;5.968;6.178;6.279;6.64;7.327;7.642;7.914;7.947;8.093
11/30/1999;5.986;6.132;6.304;6.427;6.741;7.491;7.727;7.983;7.987;8.176
12/31/1999;6.222;6.39;6.564;6.668;6.94;7.612;7.88;8.142;8.155;8.303
1/31/2000;6.586;6.719;6.798;6.864;6.869;7.911;8.147;8.35;8.311;8.322
2/29/2000;6.52;6.633;6.743;6.779;6.621;7.826;8.141;8.332;8.306;8.302
3/31/2000;6.49;6.406;6.426;6.43;6.361;7.908;8.121;8.282;8.217;8.33
4/30/2000;6.662;6.601;6.62;6.602;6.481;8.184;8.529;8.683;8.638;8.678
5/31/2000;6.766;6.637;6.595;6.65;6.561;8.486;8.655;8.816;8.818;8.952
6/30/2000;6.453;6.301;6.293;6.401;6.394;8.216;8.28;8.418;8.43;8.578
7/31/2000;6.389;6.262;6.24;6.374;6.301;8.104;8.198;8.342;8.371;8.435
8/31/2000;6.243;6.054;6.042;6.205;6.127;7.961;7.972;8.103;8.132;8.363
9/30/2000;6.108;5.92;5.967;6.197;6.281;7.833;7.845;7.982;8.123;8.46
10/31/2000;6.084;5.871;5.897;6.134;6.182;8.93;8.284;8.18;8.23;8.561
11/30/2000;5.761;5.531;5.578;5.869;5.903;8.65;7.969;7.905;8.014;8.473
12/31/2000;5.293;5.119;5.227;5.569;5.729;8.279;7.427;7.703;7.768;8.342
1/31/2001;4.737;4.872;5.088;5.515;5.756;7.141;7.028;7.312;7.489;8.024
2/28/2001;4.549;4.691;4.928;5.383;5.637;6.963;6.864;7.229;7.389;8.01
3/31/2001;4.25;4.546;4.836;5.351;5.722;6.606;6.902;7.104;7.373;8.009
4/30/2001;4.29;4.81;5.153;5.676;6.017;6.311;6.88;7.303;7.571;8.209
5/31/2001;4.194;4.852;5.233;5.838;6.022;5.998;6.785;7.258;7.549;8.075
6/30/2001;4.218;4.873;5.234;5.831;6.009;6.113;6.823;7.186;7.586;8.078
7/31/2001;3.74;4.412;4.847;5.465;5.695;5.579;6.343;6.831;7.145;7.767
8/31/2001;3.623;4.294;4.756;5.317;5.564;5.422;6.249;6.911;7.032;7.645
9/30/2001;2.789;3.672;4.321;4.979;5.501;5.033;6.142;6.824;7.091;7.848
10/31/2001;2.348;3.323;3.871;4.649;5.119;4.839;5.93;6.594;6.82;7.552
11/30/2001;2.696;3.884;4.465;5.208;5.584;5.179;6.213;6.96;7.067;7.711
12/31/2001;2.821;4.182;4.742;5.491;5.807;5.052;6.47;7.129;7.305;7.786
1/31/2002;2.914;4.155;4.752;5.467;5.735;5.24;6.556;7.181;7.278;7.788
2/28/2002;2.834;3.993;4.712;5.319;5.652;5.697;6.51;6.999;7.275;7.852
3/31/2002;3.444;4.642;5.275;5.847;6.099;6.302;7.055;7.544;7.765;8.189
4/30/2002;2.973;4.174;4.884;5.506;5.793;6.652;6.898;7.336;7.612;8.177
5/31/2002;2.976;4.093;4.87;5.382;5.8;5.521;6.276;6.907;7.183;7.889
6/30/2002;2.644;3.807;4.632;5.168;5.672;5.645;6.405;7.04;7.392;8.114
7/31/2002;2.068;3.17;4.074;4.77;5.419;6.083;6.514;7.341;7.469;8.335
8/31/2002;2.031;2.937;3.909;4.557;5.075;5.92;6.183;6.908;6.959;7.845
9/30/2002;1.649;2.361;3.374;4.058;4.73;5.658;5.884;6.584;6.774;7.825
10/31/2002;1.594;2.465;3.55;4.302;5.027;5.738;6.23;6.91;7.06;8.075
11/30/2002;1.928;2.992;4.073;4.617;5.158;5.092;5.764;6.683;6.769;7.682
12/31/2002;1.477;2.433;3.586;4.185;4.824;4.451;5.119;6.022;6.261;7.219
1/31/2003;1.575;2.623;3.783;4.343;4.9;4.276;5.051;6.021;6.254;7.213
2/28/2003;1.435;2.35;3.597;4.093;4.651;4.048;4.616;5.574;5.925;6.955
3/31/2003;1.408;2.409;3.701;4.214;4.798;4.031;4.628;5.593;5.939;7.046
4/30/2003;1.379;2.388;3.631;4.236;4.745;3.516;4.266;5.224;5.548;6.711
5/31/2003;1.273;1.985;3.424;3.642;4.281;3.127;3.738;4.601;5.01;6.204
6/30/2003;1.241;2.113;3.562;3.809;4.451;2.938;3.689;4.646;5.048;6.367
7/31/2003;1.656;2.944;4.244;4.711;5.358;3.305;4.377;5.509;5.915;7.224
